[2023-12-11 17:14:26] Order id: 3	| status: NotTaken	|
[2023-12-11 17:14:26] Order id: 3	| status: Procesing	|
[2023-12-11 17:14:29] Order id: 1	| status: Completed	|
[2023-12-11 17:14:31] Order id: 4	| status: NotTaken	|
[2023-12-11 17:14:31] Order id: 4	| status: Procesing	|
[2023-12-11 17:17:06] Order id: 1	| status: NotTaken	|
[2023-12-11 17:17:06] Order id: 1	| status: Procesing	|
[2023-12-11 17:17:11] Order id: 2	| status: NotTaken	|
[2023-12-11 17:17:11] Order id: 2	| status: Procesing	|
[2023-12-11 17:17:16] Order id: 3	| status: NotTaken	|
[2023-12-11 17:17:16] Order id: 3	| status: Procesing	|
[2023-12-11 17:19:04] Order id: 1	| status: NotTaken	|
[2023-12-11 17:19:04] Order id: 1	| status: Procesing	|
[2023-12-11 17:19:09] Order id: 2	| status: NotTaken	|
[2023-12-11 17:19:09] Order id: 2	| status: Procesing	|
[2023-12-11 17:19:14] Order id: 3	| status: NotTaken	|
[2023-12-11 17:19:14] Order id: 3	| status: Procesing	|
[2023-12-11 17:19:17] Order id: 1	| status: Completed	|
[2023-12-11 17:19:19] Order id: 4	| status: NotTaken	|
[2023-12-11 17:19:19] Order id: 4	| status: Procesing	|
[2023-12-11 17:19:24] Order id: 5	| status: NotTaken	|
[2023-12-11 17:19:24] Order id: 5	| status: Procesing	|
[2023-12-11 17:19:29] Order id: 6	| status: NotTaken	|
[2023-12-11 17:19:29] Order id: 6	| status: Procesing	|
[2023-12-11 17:19:29] Order id: 2	| status: Completed	|
[2023-12-11 17:19:34] Order id: 7	| status: NotTaken	|
[2023-12-11 17:19:34] Order id: 7	| status: Procesing	|
[2023-12-11 17:19:35] Order id: 3	| status: Completed	|
[2023-12-11 17:19:39] Order id: 8	| status: NotTaken	|
[2023-12-11 17:19:39] Order id: 8	| status: Procesing	|
[2023-12-11 17:19:44] Order id: 9	| status: NotTaken	|
[2023-12-11 17:19:44] Order id: 9	| status: Procesing	|
[2023-12-11 17:19:47] Order id: 4	| status: Completed	|
[2023-12-11 17:19:49] Order id: 10	| status: NotTaken	|
[2023-12-11 17:19:49] Order id: 10	| status: Procesing	|
[2023-12-11 17:19:53] Order id: 5	| status: Completed	|
[2023-12-11 17:19:54] Order id: 11	| status: NotTaken	|
[2023-12-11 17:19:54] Order id: 11	| status: Procesing	|
[2023-12-11 17:19:59] Order id: 12	| status: NotTaken	|
[2023-12-11 17:19:59] Order id: 12	| status: Procesing	|
[2023-12-11 17:20:04] Order id: 13	| status: NotTaken	|
[2023-12-11 17:20:04] Order id: 13	| status: Procesing	|
[2023-12-11 17:25:51] Order id: 1	| status: NotTaken	|
[2023-12-11 17:25:51] Order id: 1	| status: Procesing	|
[2023-12-11 17:25:56] Order id: 2	| status: NotTaken	|
[2023-12-11 17:25:56] Order id: 2	| status: Procesing	|
[2023-12-11 17:26:01] Order id: 3	| status: NotTaken	|
[2023-12-11 17:26:01] Order id: 3	| status: Procesing	|
[2023-12-11 17:26:04] Order id: 1	| status: Completed	|
[2023-12-11 17:26:06] Order id: 4	| status: NotTaken	|
[2023-12-11 17:26:06] Order id: 4	| status: Procesing	|
[2023-12-11 17:26:11] Order id: 5	| status: NotTaken	|
[2023-12-11 17:26:11] Order id: 5	| status: Procesing	|
[2023-12-11 17:26:16] Order id: 6	| status: NotTaken	|
[2023-12-11 17:26:16] Order id: 6	| status: Procesing	|
[2023-12-11 17:26:16] Order id: 2	| status: Completed	|
[2023-12-11 17:26:21] Order id: 7	| status: NotTaken	|
[2023-12-11 17:26:21] Order id: 7	| status: Procesing	|
[2023-12-11 17:26:22] Order id: 3	| status: Completed	|
[2023-12-11 17:27:09] Order id: 1	| status: NotTaken	|
[2023-12-11 17:27:09] Order id: 1	| status: Procesing	|
[2023-12-11 17:27:14] Order id: 2	| status: NotTaken	|
[2023-12-11 17:27:14] Order id: 2	| status: Procesing	|
[2023-12-11 17:28:33] Order id: 1	| status: NotTaken	|
[2023-12-11 17:28:33] Order id: 1	| status: Procesing	|
[2023-12-11 17:28:38] Order id: 2	| status: NotTaken	|
[2023-12-11 17:28:38] Order id: 2	| status: Procesing	|
[2023-12-11 17:29:18] Order id: 1	| status: NotTaken	|
[2023-12-11 17:29:18] Order id: 1	| status: Procesing	|
[2023-12-11 17:29:23] Order id: 2	| status: NotTaken	|
[2023-12-11 17:29:23] Order id: 2	| status: Procesing	|
[2023-12-11 17:29:28] Order id: 3	| status: NotTaken	|
[2023-12-11 17:29:28] Order id: 3	| status: Procesing	|
[2023-12-11 17:32:22] Order id: 1	| status: NotTaken	|
[2023-12-11 17:32:22] Order id: 1	| status: Procesing	|
[2023-12-11 17:32:27] Order id: 2	| status: NotTaken	|
[2023-12-11 17:32:27] Order id: 2	| status: Procesing	|
[2023-12-11 17:32:32] Order id: 3	| status: NotTaken	|
[2023-12-11 17:32:32] Order id: 3	| status: Procesing	|
[2023-12-11 17:32:35] Order id: 1	| status: Completed	|
[2023-12-11 17:32:37] Order id: 4	| status: NotTaken	|
[2023-12-11 17:32:37] Order id: 4	| status: Procesing	|
[2023-12-11 17:32:42] Order id: 5	| status: NotTaken	|
[2023-12-11 17:32:42] Order id: 5	| status: Procesing	|
[2023-12-11 17:32:47] Order id: 6	| status: NotTaken	|
[2023-12-11 17:32:47] Order id: 6	| status: Procesing	|
[2023-12-11 17:32:47] Order id: 2	| status: Completed	|
[2023-12-11 17:32:52] Order id: 7	| status: NotTaken	|
[2023-12-11 17:32:52] Order id: 7	| status: Procesing	|
[2023-12-11 17:32:53] Order id: 3	| status: Completed	|
[2023-12-11 17:32:57] Order id: 8	| status: NotTaken	|
[2023-12-11 17:32:57] Order id: 8	| status: Procesing	|
[2023-12-11 17:33:02] Order id: 9	| status: NotTaken	|
[2023-12-11 17:33:02] Order id: 9	| status: Procesing	|
[2023-12-11 17:33:05] Order id: 4	| status: Completed	|
[2023-12-11 17:33:07] Order id: 10	| status: NotTaken	|
[2023-12-11 17:33:07] Order id: 10	| status: Procesing	|
[2023-12-11 17:33:11] Order id: 5	| status: Completed	|
[2023-12-11 17:33:12] Order id: 11	| status: NotTaken	|
[2023-12-11 17:33:12] Order id: 11	| status: Procesing	|
[2023-12-11 17:33:17] Order id: 12	| status: NotTaken	|
[2023-12-11 17:33:17] Order id: 12	| status: Procesing	|
[2023-12-11 17:33:22] Order id: 13	| status: NotTaken	|
[2023-12-11 17:33:22] Order id: 13	| status: Procesing	|
[2023-12-11 17:33:23] Order id: 6	| status: Completed	|
[2023-12-11 17:33:27] Order id: 14	| status: NotTaken	|
[2023-12-11 17:33:27] Order id: 14	| status: Procesing	|
[2023-12-11 17:33:32] Order id: 15	| status: NotTaken	|
[2023-12-11 17:33:32] Order id: 15	| status: Procesing	|
[2023-12-11 17:33:35] Order id: 7	| status: Completed	|
[2023-12-11 17:33:37] Order id: 16	| status: NotTaken	|
[2023-12-11 17:33:37] Order id: 16	| status: Procesing	|
[2023-12-11 17:33:41] Order id: 8	| status: Completed	|
[2023-12-11 17:33:42] Order id: 17	| status: NotTaken	|
[2023-12-11 17:33:42] Order id: 17	| status: Procesing	|
[2023-12-11 17:33:47] Order id: 18	| status: NotTaken	|
[2023-12-11 17:33:47] Order id: 18	| status: Procesing	|
[2023-12-11 17:33:52] Order id: 19	| status: NotTaken	|
